Id,over_draft,credit_usage,credit_history,purpose,current_balance,Average_Credit_Balance,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,<0,6,critical/other_existing_credit,radio/tv,1169,no_known_savings,>=7,4,male_single,none,4,real_estate,67,none,own,2,skilled,1,yes,yes,good
2,0<=X<200,48,existing_paid,radio/tv,5951,<100,1<=X<4,2,female_div/dep/mar,none,2,real_estate,22,none,own,1,skilled,1,none,yes,bad
3,no_checking,12,critical/other_existing_credit,education,2096,<100,4<=X<7,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,none,yes,good
4,<0,42,existing_paid,furniture/equipment,7882,<100,4<=X<7,2,male_single,guarantor,4,life_insurance,45,none,for_free,1,skilled,2,none,yes,good
5,<0,24,delayed_previously,new_car,4870,<100,1<=X<4,3,male_single,none,4,no_known_property,53,none,for_free,2,skilled,2,none,yes,bad
6,no_checking,36,existing_paid,education,9055,no_known_savings,1<=X<4,2,male_single,none,4,no_known_property,35,none,for_free,1,unskilled_resident,2,yes,yes,good
7,no_checking,24,existing_paid,furniture/equipment,2835,500<=X<1000,>=7,3,male_single,none,4,life_insurance,53,none,own,1,skilled,1,none,yes,good
8,0<=X<200,36,existing_paid,used_car,6948,<100,1<=X<4,2,male_single,none,2,car,35,none,rent,1,high_qualif/self_emp/mgmt,1,yes,yes,good
9,no_checking,12,existing_paid,radio/tv,3059,>=1000,4<=X<7,2,male_div/sep,none,4,real_estate,61,none,own,1,unskilled_resident,1,none,yes,good
10,0<=X<200,30,critical/other_existing_credit,new_car,5234,<100,unemployed,4,male_mar/wid,none,2,car,28,none,own,2,high_qualif/self_emp/mgmt,1,none,yes,bad
11,0<=X<200,12,existing_paid,new_car,1295,<100,<1,3,female_div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
12,<0,48,existing_paid,business,4308,<100,<1,3,female_div/dep/mar,none,4,life_insurance,24,none,rent,1,skilled,1,none,yes,bad
13,0<=X<200,12,existing_paid,radio/tv,1567,<100,1<=X<4,1,female_div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
14,<0,24,critical/other_existing_credit,new_car,1199,<100,>=7,4,male_single,none,4,car,60,none,own,2,unskilled_resident,1,none,yes,bad
15,<0,15,existing_paid,new_car,1403,<100,1<=X<4,2,female_div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,good
