Loading files... 
  Starting yago.tsv
  Finished yago.tsv, still running: 0
Loaded 948354 facts in 8.43 s using 117 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <exports>  ?b   => ?a  <imports>  ?b	0.130952381	0.08678501	0.103286385	44	507	426	?a	0.0	0.0	0.0
?a  <imports>  ?b   => ?a  <exports>  ?b	0.08678501	0.130952381	0.144736842	44	336	304	?b	0.0	0.0	0.0
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0.014733091	0.033704342	0.144489247	215	6379	1488	?a	0.0	0.0	0.0
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0.018296444	0.012050912	0.434146341	267	22156	615	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0.052970602	0.013812698	0.226952437	773	55963	3406	?a	0.0	0.0	0.0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	0.044884534	0.044955388	0.523581135	655	14570	1251	?a	0.0	0.0	0.0
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	0.136429608	0.136429608	0.183235867	94	689	513	?a	0.0	0.0	0.0
?a  <http://www.w3.org/2000/01/rdf-schema#range>  ?b   => ?a  <http://www.w3.org/2000/01/rdf-schema#domain>  ?b	0.232876712	0.232876712	0.234482759	34	146	145	?a	0.0	0.0	0.0
?a  <http://www.w3.org/2000/01/rdf-schema#domain>  ?b   => ?a  <http://www.w3.org/2000/01/rdf-schema#range>  ?b	0.232876712	0.232876712	0.234482759	34	146	145	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0.089901478	0.018442105	0.162462908	219	11875	1348	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	0.033704342	0.014733091	0.313868613	215	14593	685	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <isLeaderOf>  ?b	0.015519674	0.001769026	0.169230769	99	55963	585	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <diedIn>  ?b	0.012050912	0.018296444	0.290533188	267	14593	919	?a	0.0	0.0	0.0
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	0.088463622	0.03502314	0.225313254	1960	55963	8699	?a	0.0	0.0	0.0
?a  <isLocatedIn>  ?b   => ?a  <diedIn>  ?b	0.01083228	0.001126311	0.16985138	240	213085	1413	?a	0.0	0.0	0.0
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.018442105	0.089901478	0.162462908	219	2436	1348	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.053424658	0.005345028	0.287822878	78	14593	271	?a	0.0	0.0	0.0
?b  <influences>  ?a   => ?a  <hasAcademicAdvisor>  ?b	0.01489471	0.002078853	0.11372549	29	13950	255	?a	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.044955388	0.044884534	0.365717476	655	14593	1791	?a	0.0	0.0	0.0
?a  <directed>  ?b   => ?a  <produced>  ?b	0.112559477	0.067845726	0.161890505	2271	33473	14028	?b	0.0	0.0	0.0
?a  <created>  ?b   => ?a  <produced>  ?b	0.100565028	0.010136992	0.129698287	2029	200158	15644	?b	0.0	0.0	0.0
?a  <created>  ?b   => ?a  <isKnownFor>  ?b	0.05137802	0.001508808	0.381313131	302	200158	792	?b	0.0	0.0	0.0
?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.530142583	0.530142583	0.917857658	6358	11993	6927	?b	0.0	0.0	0.0
?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	0.013812698	0.052970602	0.171169176	773	14593	4516	?a	0.0	0.0	0.0
?a  <diedIn>  ?b   => ?a  <wasBornIn>  ?b	0.03502314	0.088463622	0.225313254	1960	22156	8699	?a	0.0	0.0	0.0
?a  <produced>  ?b   => ?a  <directed>  ?b	0.067845726	0.112559477	0.13395069	2271	20176	16954	?b	0.0	0.0	0.0
